exp_moment,model,seed,total_reward,n_actions,animal_ID
251130-134624,FullFwd,42,69.0,270,031
251130-134624,FullFwd,43,55.0,270,031
251130-134624,FullFwd,44,42.0,270,031
251130-134624,FullFwd,45,39.0,270,031
251130-134624,FullFwd,46,14.0,270,031
251130-134624,NoBkFullFwd,42,148.0,270,031
251130-134624,NoBkFullFwd,43,135.0,270,031
251130-134624,NoBkFullFwd,44,111.0,270,031
251130-134624,NoBkFullFwd,45,164.0,270,031
251130-134624,NoBkFullFwd,46,165.0,270,031
251130-134624,Clone_ego,42,78.0,270,031
251130-134624,Clone_ego,43,70.0,270,031
251130-134624,Clone_ego,44,91.0,270,031
251130-134624,Clone_ego,45,83.0,270,031
251130-134624,Clone_ego,46,87.0,270,031
251130-134624,Clone_allo_real,42,27.0,270,031
251130-134624,Clone_allo_real,43,56.0,270,031
251130-134624,Clone_allo_real,44,37.0,270,031
251130-134624,Clone_allo_real,45,51.0,270,031
251130-134624,Clone_allo_real,46,14.0,270,031
251130-134624,Clone_allo_latent,42,26.0,270,031
251130-134624,Clone_allo_latent,43,27.0,270,031
251130-134624,Clone_allo_latent,44,50.0,270,031
251130-134624,Clone_allo_latent,45,36.0,270,031
251130-134624,Clone_allo_latent,46,28.0,270,031
251129-155326,FullFwd,42,88.0,420,031
251129-155326,FullFwd,43,98.0,420,031
251129-155326,FullFwd,44,56.0,420,031
251129-155326,FullFwd,45,98.0,420,031
251129-155326,FullFwd,46,41.0,420,031
251129-155326,NoBkFullFwd,42,194.0,420,031
251129-155326,NoBkFullFwd,43,222.0,420,031
251129-155326,NoBkFullFwd,44,238.0,420,031
251129-155326,NoBkFullFwd,45,182.0,420,031
251129-155326,NoBkFullFwd,46,192.0,420,031
251129-155326,Clone_ego,42,102.0,420,031
251129-155326,Clone_ego,43,97.0,420,031
251129-155326,Clone_ego,44,127.0,420,031
251129-155326,Clone_ego,45,116.0,420,031
251129-155326,Clone_ego,46,127.0,420,031
251129-155326,Clone_allo_real,42,78.0,420,031
251129-155326,Clone_allo_real,43,70.0,420,031
251129-155326,Clone_allo_real,44,70.0,420,031
251129-155326,Clone_allo_real,45,51.0,420,031
251129-155326,Clone_allo_real,46,14.0,420,031
251129-155326,Clone_allo_latent,42,64.0,420,031
251129-155326,Clone_allo_latent,43,69.0,420,031
251129-155326,Clone_allo_latent,44,74.0,420,031
251129-155326,Clone_allo_latent,45,40.0,420,031
251129-155326,Clone_allo_latent,46,38.0,420,031
251128-125956,FullFwd,42,69.0,271,031
251128-125956,FullFwd,43,79.0,271,031
251128-125956,FullFwd,44,49.0,271,031
251128-125956,FullFwd,45,78.0,271,031
251128-125956,FullFwd,46,26.0,271,031
251128-125956,NoBkFullFwd,42,139.0,271,031
251128-125956,NoBkFullFwd,43,150.0,271,031
251128-125956,NoBkFullFwd,44,150.0,271,031
251128-125956,NoBkFullFwd,45,166.0,271,031
251128-125956,NoBkFullFwd,46,152.0,271,031
251128-125956,Clone_ego,42,38.0,271,031
251128-125956,Clone_ego,43,91.0,271,031
251128-125956,Clone_ego,44,93.0,271,031
251128-125956,Clone_ego,45,48.0,271,031
251128-125956,Clone_ego,46,42.0,271,031
251128-125956,Clone_allo_real,42,55.0,271,031
251128-125956,Clone_allo_real,43,40.0,271,031
251128-125956,Clone_allo_real,44,54.0,271,031
251128-125956,Clone_allo_real,45,13.0,271,031
251128-125956,Clone_allo_real,46,13.0,271,031
251128-125956,Clone_allo_latent,42,28.0,271,031
251128-125956,Clone_allo_latent,43,62.0,271,031
251128-125956,Clone_allo_latent,44,66.0,271,031
251128-125956,Clone_allo_latent,45,28.0,271,031
251128-125956,Clone_allo_latent,46,42.0,271,031
251127-113857,FullFwd,42,28.0,140,031
251127-113857,FullFwd,43,40.0,140,031
251127-113857,FullFwd,44,27.0,140,031
251127-113857,FullFwd,45,51.0,140,031
251127-113857,FullFwd,46,14.0,140,031
251127-113857,NoBkFullFwd,42,75.0,140,031
251127-113857,NoBkFullFwd,43,82.0,140,031
251127-113857,NoBkFullFwd,44,78.0,140,031
251127-113857,NoBkFullFwd,45,83.0,140,031
251127-113857,NoBkFullFwd,46,83.0,140,031
251127-113857,Clone_ego,42,25.0,140,031
251127-113857,Clone_ego,43,18.0,140,031
251127-113857,Clone_ego,44,28.0,140,031
251127-113857,Clone_ego,45,41.0,140,031
251127-113857,Clone_ego,46,28.0,140,031
251127-113857,Clone_allo_real,42,27.0,140,031
251127-113857,Clone_allo_real,43,39.0,140,031
251127-113857,Clone_allo_real,44,36.0,140,031
251127-113857,Clone_allo_real,45,24.0,140,031
251127-113857,Clone_allo_real,46,14.0,140,031
251127-113857,Clone_allo_latent,42,13.0,140,031
251127-113857,Clone_allo_latent,43,25.0,140,031
251127-113857,Clone_allo_latent,44,42.0,140,031
251127-113857,Clone_allo_latent,45,24.0,140,031
251127-113857,Clone_allo_latent,46,23.0,140,031
251126-135239,FullFwd,42,69.0,317,031
251126-135239,FullFwd,43,81.0,317,031
251126-135239,FullFwd,44,52.0,317,031
251126-135239,FullFwd,45,81.0,317,031
251126-135239,FullFwd,46,37.0,317,031
251126-135239,NoBkFullFwd,42,145.0,317,031
251126-135239,NoBkFullFwd,43,180.0,317,031
251126-135239,NoBkFullFwd,44,176.0,317,031
251126-135239,NoBkFullFwd,45,182.0,317,031
251126-135239,NoBkFullFwd,46,166.0,317,031
251126-135239,Clone_ego,42,52.0,317,031
251126-135239,Clone_ego,43,78.0,317,031
251126-135239,Clone_ego,44,72.0,317,031
251126-135239,Clone_ego,45,82.0,317,031
251126-135239,Clone_ego,46,36.0,317,031
251126-135239,Clone_allo_real,42,36.0,317,031
251126-135239,Clone_allo_real,43,49.0,317,031
