exp_moment,animal_ID,model,hpo_config,pretrain_type,n_pretrain_episodes,repeat_idx,total_reward,n_actions,seed,elapsed_s,timestamp
260116-175247,033,DQN,default,target_session,1,1,104.0,179,43,0.29245615005493164,2026-03-16T20:34:58.832723
260116-175247,033,DQN,default,target_session,1,2,63.0,179,44,0.26064586639404297,2026-03-16T20:34:59.093388
260116-175247,033,DQN,default,target_session,1,3,79.0,179,45,0.30568695068359375,2026-03-16T20:34:59.399097
260116-175247,033,DQN,default,target_session,1,4,100.0,179,46,0.27179908752441406,2026-03-16T20:34:59.670917
260116-175247,033,DQN,default,target_session,2,0,67.0,179,42,0.34793591499328613,2026-03-16T20:35:00.018877
260116-175247,033,DQN,default,target_session,2,1,120.0,179,43,0.3771340847015381,2026-03-16T20:35:00.396030
260116-175247,033,DQN,default,target_session,2,2,87.0,179,44,0.35434389114379883,2026-03-16T20:35:00.750395
260116-175247,033,DQN,default,target_session,2,3,138.0,179,45,0.3809690475463867,2026-03-16T20:35:01.131384
260116-175247,033,DQN,default,target_session,2,4,62.0,179,46,0.35679197311401367,2026-03-16T20:35:01.488198
260116-175247,033,DQN,default,target_session,5,0,70.0,179,42,0.5920307636260986,2026-03-16T20:35:02.080252
260116-175247,033,DQN,default,target_session,5,1,112.0,179,43,0.6284239292144775,2026-03-16T20:35:02.708697
260116-175247,033,DQN,default,target_session,5,2,146.0,179,44,0.5921320915222168,2026-03-16T20:35:03.300851
260116-175247,033,DQN,default,target_session,5,3,155.0,179,45,0.6147439479827881,2026-03-16T20:35:03.915615
260116-175247,033,DQN,default,target_session,5,4,147.0,179,46,0.5718328952789307,2026-03-16T20:35:04.487468
260116-175247,033,DQN,default,target_session,10,0,109.0,179,42,0.9498081207275391,2026-03-16T20:35:05.437298
260116-175247,033,DQN,default,target_session,10,1,101.0,179,43,1.0140960216522217,2026-03-16T20:35:06.451416
260116-175247,033,DQN,default,target_session,10,2,158.0,179,44,0.9751300811767578,2026-03-16T20:35:07.426564
260116-175247,033,DQN,default,target_session,10,3,154.0,179,45,1.0112838745117188,2026-03-16T20:35:08.437870
260116-175247,033,DQN,default,target_session,10,4,149.0,179,46,0.9419870376586914,2026-03-16T20:35:09.379878
260116-175247,033,DQN,default,target_session,20,0,106.0,179,42,1.7502868175506592,2026-03-16T20:35:11.130187
260116-175247,033,DQN,default,target_session,20,1,84.0,179,43,1.825864315032959,2026-03-16T20:35:12.956071
260116-175247,033,DQN,default,target_session,20,2,159.0,179,44,1.8142890930175781,2026-03-16T20:35:14.770380
260116-175247,033,DQN,default,target_session,20,3,160.0,179,45,1.7988412380218506,2026-03-16T20:35:16.569244
260116-175247,033,DQN,default,target_session,20,4,138.0,179,46,1.759833812713623,2026-03-16T20:35:18.329099
251231-172527,031,DQN,default,target_session,0,0,14.0,121,42,0.14157414436340332,2026-03-16T20:35:18.471216
251231-172527,031,DQN,default,target_session,0,1,25.0,121,43,0.17021918296813965,2026-03-16T20:35:18.641456
251231-172527,031,DQN,default,target_session,0,2,14.0,121,44,0.1628732681274414,2026-03-16T20:35:18.804349
251231-172527,031,DQN,default,target_session,0,3,15.0,121,45,0.20200085639953613,2026-03-16T20:35:19.006370
251231-172527,031,DQN,default,target_session,0,4,22.0,121,46,0.15379905700683594,2026-03-16T20:35:19.160191
251231-172527,031,DQN,default,target_session,1,0,66.0,121,42,0.22907423973083496,2026-03-16T20:35:19.389288
251231-172527,031,DQN,default,target_session,1,1,56.0,121,43,0.23633885383605957,2026-03-16T20:35:19.625648
251231-172527,031,DQN,default,target_session,1,2,8.0,121,44,0.20957684516906738,2026-03-16T20:35:19.835247
251231-172527,031,DQN,default,target_session,1,3,21.0,121,45,0.2387080192565918,2026-03-16T20:35:20.073978
251231-172527,031,DQN,default,target_session,1,4,27.0,121,46,0.20409917831420898,2026-03-16T20:35:20.278098
251231-172527,031,DQN,default,target_session,2,0,61.0,121,42,0.27400708198547363,2026-03-16T20:35:20.552128
251231-172527,031,DQN,default,target_session,2,1,56.0,121,43,0.28586411476135254,2026-03-16T20:35:20.838013
251231-172527,031,DQN,default,target_session,2,2,54.0,121,44,0.2676098346710205,2026-03-16T20:35:21.105644
251231-172527,031,DQN,default,target_session,2,3,8.0,121,45,0.31184816360473633,2026-03-16T20:35:21.417514
251231-172527,031,DQN,default,target_session,2,4,92.0,121,46,0.255511999130249,2026-03-16T20:35:21.673049
